"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-16_DEL-I",53.8195098913648,-0.0258295886832617,0.102699367397998,-0.251506794420286,0.801422309801277,0.999945529425441,"chicharo vs makindu","BEL-16_DEL-I",0.999945529425441,FALSE
"BEL-16_DEL-LTR",2.98064980504452,0.0188139899475703,0.079963066559482,0.235283497207741,0.813988702957487,0.999945529425441,"chicharo vs makindu","BEL-16_DEL-LTR",0.999945529425441,FALSE
"BEL-16_DTA-I",12.0761233387371,0.00197171683268311,0.100764681845685,0.0195675389091455,0.984388359071009,0.999945529425441,"chicharo vs makindu","BEL-16_DTA-I",0.999945529425441,FALSE
"BEL-16_DWIL-I",33.8330082362859,0.0158901529315157,0.103202921162083,0.153969991862535,0.877633396429589,0.999945529425441,"chicharo vs makindu","BEL-16_DWIL-I",0.999945529425441,FALSE
"BEL-16_DWIL-LTR",2.75544051253041,0.0167413405387109,0.0768180585844456,0.217934960180063,0.827479787476757,0.999945529425441,"chicharo vs makindu","BEL-16_DWIL-LTR",0.999945529425441,FALSE
"BEL-17_DAN-I",26.5098216356061,-0.00040351529625372,0.109405356365183,-0.00368825905476539,0.997057201715902,0.999945529425441,"chicharo vs makindu","BEL-17_DAN-I",0.999945529425441,FALSE
"BEL-17_DAN-LTR",0.225209292514103,0.00409939508565941,0.0338956938919664,0.120941471171092,0.903737393994461,0.999945529425441,"chicharo vs makindu","BEL-17_DAN-LTR",0.999945529425441,FALSE
"BEL-17_DEL-I",346.501140622979,-0.0366971638864964,0.111805818799949,-0.328222307929764,0.742743582015681,0.999945529425441,"chicharo vs makindu","BEL-17_DEL-I",0.999945529425441,FALSE
"BEL-17_DTA-I",40.5562856135826,0.00230921883530584,0.111634056682754,0.0206856124727981,0.983496446149091,0.999945529425441,"chicharo vs makindu","BEL-17_DTA-I",0.999945529425441,FALSE
"BEL-18_DAN-I",6.29188673913323,0.00985657797202516,0.094896897653906,0.103866177037448,0.917275548703593,0.999945529425441,"chicharo vs makindu","BEL-18_DAN-I",0.999945529425441,FALSE
"BEL-18_DEL-I",34.0847889297763,-0.0276524260061408,0.110255522390034,-0.250803092731437,0.801966350334732,0.999945529425441,"chicharo vs makindu","BEL-18_DEL-I",0.999945529425441,FALSE
"BEL-18_DTA-I",12.3958695773571,0.00084872768739335,0.101543715094117,0.00835824931761358,0.993331159562126,0.999945529425441,"chicharo vs makindu","BEL-18_DTA-I",0.999945529425441,FALSE
"BEL-18_DWIL-I",44.5593596626196,-0.00276957301555309,0.112003731630444,-0.0247275066217552,0.980272314673999,0.999945529425441,"chicharo vs makindu","BEL-18_DWIL-I",0.999945529425441,FALSE
"BEL-19_DAN-I",283.619009998638,0.0118487369869169,0.113662937923887,0.104244507517932,0.916975314459094,0.999945529425441,"chicharo vs makindu","BEL-19_DAN-I",0.999945529425441,FALSE
"BEL-19_DTA-I",7.86298343975021,0.0202515196522526,0.0958170809542612,0.211356048948306,0.832609449866538,0.999945529425441,"chicharo vs makindu","BEL-19_DTA-I",0.999945529425441,FALSE
"BEL-19_DTA-LTR",1.69746649488522,0.00552256566719351,0.070451948951234,0.0783876918865107,0.937519663856258,0.999945529425441,"chicharo vs makindu","BEL-19_DTA-LTR",0.999945529425441,FALSE
"BEL-19_DWIL-I",18.039385697703,0.00773876867333929,0.105500895136192,0.0733526351918552,0.941525507646245,0.999945529425441,"chicharo vs makindu","BEL-19_DWIL-I",0.999945529425441,FALSE
"BEL-1_DAN-I",39.060278423029,0.0201740262423916,0.102646867462176,0.196538157872431,0.844188969349434,0.999945529425441,"chicharo vs makindu","BEL-1_DAN-I",0.999945529425441,FALSE
